Name,Price,Product Type,WebLinks
"Flat-Top RT BP Pens 12PK, Asst",19.99,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pens/Fashn-Trnd/Flat-Top-RT-BP-Pens-12PK-Asst/p/661119391
"Highlighters, Set of 4, Asst",7.49,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Highlighters/Specialty/Highlighters-Set-of-4-Asst/p/661119404
"Le Pen Flex 6 Piece Set Jewel: Magenta, Amethyst, Navy, Oriental Blue, Burgundy, Teal",11.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pens/Fashn-Trnd/Le-Pen-Flex-6-Piece-Set-Jewel-Magenta-Amethyst-Navy-Oriental-Blue-Burgundy-Teal/p/641468738
"Le Pen Flex 6 Piece Set Pastel: Dusty Pink, Coral Pink, Ochre, Peppermint, Pale Blue, Wisteria, Amethyst, Magenta, Teal, Orental Blue",11.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pens/Fashn-Trnd/Le-Pen-Flex-6-Piece-Set-Pastel-Dusty-Pink-Coral-Pink-Ochre-Peppermint-Pale-Blue-Wisteria-Amethyst-Magenta-Teal-Orental-Blue/p/641468746
"Le Pen 10 Piece Set Dark: Black, Red, Blue, Green, Brown, Lavender, Olive Green, Dark Grey, Burgundy, Oriental Blue",19.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pens/Fashn-Trnd/Le-Pen-10-Piece-Set-Dark-Black-Red-Blue-Green-Brown-Lavender-Olive-Green-Dark-Grey-Burgundy-Oriental-Blue/p/641468720
"Le Pen 6 Piece Set Retro: Magenta, Pale Mauve, Mustard, Jade Green, Sepia, Navy",11.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pens/Fashn-Trnd/Le-Pen-6-Piece-Set-Retro-Magenta-Pale-Mauve-Mustard-Jade-Green-Sepia-Navy/p/641468711
Asst Desert Gel Luxe Pens - 12pk,18.99,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pens/Fashn-Trnd/Asst-Desert-Gel-Luxe-Pens---12pk/p/478218957
Sharpie Fine Point Permanent Markers Black 2Pack,4.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Markers/Carded/Sharpie-Fine-Point-Permanent-Markers-Black-2Pack/p/255675683
Zebra F301 Ballpoint Retractable Pen 0.7mm Black 2Pack,6.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pens/Carded/Zebra-F301-Ballpoint-Retractable-Pen-0-7mm-Black-2Pack/p/268768854
Pilot Frixion Clicker Erasable Gel Pen Fine 0.7mm 2Pack Black,6.98,Writing Tools,https://drexel.bncollege.com/School-Supplies-ArtTech/Writing-Instruments/Pens/Carded/Pilot-Frixion-Clicker-Erasable-Gel-Pen-Fine-0-7mm-2Pack-Black/p/990885
